Order Id,OrderDate,CustomerID,CustomerName,Product,Category,Quantity,Price
5001,01-01-2023,CUST0103,Arjun,Laptop,Electronics,4,130153
5002,01-01-2023,CUST0436,Arjun,Headphones,Electronics,5,1684
5003,01-01-2023,CUST0861,Amit,Laptop,Electronics,5,43878
5004,01-01-2023,CUST0271,Divya,Laptop,Electronics,4,41949
5005,01-01-2023,CUST0107,Vivek,Watch,Accessories,3,4960
5006,01-01-2023,CUST0072,Suresh,T-shirt,Fashion,5,380
5007,01-01-2023,CUST0701,Sakshi,Shoes,Fashion,1,1201
5008,01-01-2023,CUST0021,Sakshi,Mobile,Electronics,2,61306
5009,01-01-2023,CUST0615,Divya,Laptop,Electronics,3,127150
5010,01-01-2023,CUST0122,Neha,Mobile,Electronics,5,19958
5011,01-01-2023,CUST0467,Neha,T-shirt,Fashion,5,1117
5012,01-01-2023,CUST0215,Sneha,Mobile,Electronics,3,18697
5013,01-01-2023,CUST0331,Simran,Laptop,Electronics,2,127160
5014,01-01-2023,CUST0459,Aditya,Watch,Accessories,4,3341
5015,01-01-2023,CUST0088,Aditya,Mobile,Electronics,1,31199
5016,01-01-2023,CUST0373,Manish,T-shirt,Fashion,5,670
5017,01-01-2023,CUST0100,Pooja,T-shirt,Fashion,2,556
5018,01-01-2023,CUST0872,Manish,Bag,Fashion,1,1453
5019,01-01-2023,CUST0664,Pooja,Bag,Fashion,3,1703
5020,01-01-2023,CUST0131,Aditya,Watch,Accessories,5,2571
5021,01-01-2023,CUST0662,Niharika,Mobile,Electronics,4,77602
5022,01-01-2023,CUST0309,Sneha,Mobile,Electronics,3,51410
5023,01-01-2023,CUST0770,Suresh,Bag,Fashion,5,1397
5024,01-01-2023,CUST0344,Simran,Shoes,Fashion,2,1879
5025,02-01-2023,CUST0492,Manish,Headphones,Electronics,1,1540
5026,02-01-2023,CUST0414,Anjali,T-shirt,Fashion,1,956
5027,02-01-2023,CUST0806,Pooja,Shoes,Fashion,5,1915
5028,02-01-2023,CUST0386,Priya,T-shirt,Fashion,3,381
5029,02-01-2023,CUST0192,Manish,Shoes,Fashion,4,1536
5030,02-01-2023,CUST0956,Priya,Bag,Fashion,2,578
5031,02-01-2023,CUST0277,Rohit,Bag,Fashion,5,782
5032,02-01-2023,CUST0161,Vivek,Headphones,Electronics,2,2134
5033,02-01-2023,CUST0460,Anjali,Shoes,Fashion,1,1796
5034,02-01-2023,CUST0314,Divya,T-shirt,Fashion,4,459
5035,02-01-2023,CUST0022,Niharika,Mobile,Electronics,2,64587
5036,02-01-2023,CUST0253,Divya,T-shirt,Fashion,5,1176
5037,02-01-2023,CUST0748,Manish,Laptop,Electronics,4,132114
5038,02-01-2023,CUST0857,Riya,Bag,Fashion,3,1679
5039,02-01-2023,CUST0561,Divya,Watch,Accessories,5,4435
5040,02-01-2023,CUST0475,Manish,Watch,Accessories,2,4015
5041,02-01-2023,CUST0059,Simran,Bag,Fashion,4,1352
5042,02-01-2023,CUST0511,Vivek,Laptop,Electronics,5,51093
5043,02-01-2023,CUST0682,Riya,Watch,Accessories,4,1616
5044,02-01-2023,CUST0476,Karan,Bag,Fashion,4,863
5045,02-01-2023,CUST0700,Anjali,Watch,Accessories,4,3154
5046,02-01-2023,CUST0976,Rohit,Bag,Fashion,2,965
5047,02-01-2023,CUST0783,Amit,Headphones,Electronics,5,2598
5048,02-01-2023,CUST0190,Rohit,Mobile,Electronics,1,57287
5049,03-01-2023,CUST0958,Sakshi,Mobile,Electronics,1,43427
5050,03-01-2023,CUST0687,Vivek,T-shirt,Fashion,2,465
5051,03-01-2023,CUST0958,Priya,Laptop,Electronics,2,124042
5052,03-01-2023,CUST0563,Anjali,Bag,Fashion,4,1325
5053,03-01-2023,CUST0876,Sneha,Shoes,Fashion,5,2095
5054,03-01-2023,CUST0567,Sneha,T-shirt,Fashion,5,990
5055,03-01-2023,CUST0244,Manish,T-shirt,Fashion,3,802
5056,03-01-2023,CUST0832,Niharika,Bag,Fashion,3,1294
5057,03-01-2023,CUST0505,Sakshi,Bag,Fashion,1,1086
5058,03-01-2023,CUST0131,Suresh,T-shirt,Fashion,3,955
5059,03-01-2023,CUST0485,Sakshi,T-shirt,Fashion,3,642
5060,03-01-2023,CUST0819,Divya,Mobile,Electronics,1,86475
5061,03-01-2023,CUST0647,Riya,Shoes,Fashion,1,1434
5062,03-01-2023,CUST0021,Raj,T-shirt,Fashion,3,1143
5063,03-01-2023,CUST0841,Anjali,Mobile,Electronics,5,29266
5064,03-01-2023,CUST0167,Sakshi,T-shirt,Fashion,3,429
5065,03-01-2023,CUST0274,Karan,Watch,Accessories,4,4311
5066,03-01-2023,CUST0388,Divya,T-shirt,Fashion,4,657
5067,03-01-2023,CUST0601,Amit,Bag,Fashion,4,1191
5068,03-01-2023,CUST0316,Neha,Laptop,Electronics,2,123804
5069,03-01-2023,CUST0014,Niharika,Laptop,Electronics,4,115246
5070,03-01-2023,CUST0242,Rohit,T-shirt,Fashion,5,921
5071,03-01-2023,CUST0777,Suresh,Headphones,Electronics,2,1281
5072,03-01-2023,CUST0346,Karan,Watch,Accessories,2,3037
5073,04-01-2023,CUST0565,Amit,Shoes,Fashion,4,2144
5074,04-01-2023,CUST0898,Anjali,T-shirt,Fashion,3,1087
5075,04-01-2023,CUST0340,Rohit,Shoes,Fashion,1,1089
5076,04-01-2023,CUST0092,Divya,Watch,Accessories,3,3494
5077,04-01-2023,CUST0367,Sneha,T-shirt,Fashion,3,774
5078,04-01-2023,CUST0956,Niharika,Headphones,Electronics,2,2870
5079,04-01-2023,CUST0455,Vivek,Mobile,Electronics,2,72245
5080,04-01-2023,CUST0428,Aditya,Headphones,Electronics,2,3019
5081,04-01-2023,CUST0509,Sakshi,Bag,Fashion,5,1334
5082,04-01-2023,CUST0776,Sakshi,Headphones,Electronics,5,3165
5083,04-01-2023,CUST0943,Anjali,Mobile,Electronics,1,88731
5084,04-01-2023,CUST0035,Karan,Bag,Fashion,2,1297
5085,04-01-2023,CUST0206,Neha,Mobile,Electronics,4,53998
5086,04-01-2023,CUST0081,Divya,Laptop,Electronics,2,57238
5087,04-01-2023,CUST0932,Karan,Mobile,Electronics,5,78264
5088,04-01-2023,CUST0562,Raj,T-shirt,Fashion,2,417
5089,04-01-2023,CUST0872,Arjun,Shoes,Fashion,5,1829
5090,04-01-2023,CUST0388,Vivek,Laptop,Electronics,2,110474
5091,04-01-2023,CUST0002,Rahul,Laptop,Electronics,4,136738
5092,04-01-2023,CUST0390,Niharika,Shoes,Fashion,1,931
5093,04-01-2023,CUST0566,Raj,Laptop,Electronics,4,131228
5094,04-01-2023,CUST0106,Manish,Mobile,Electronics,5,75074
5095,04-01-2023,CUST0772,Pooja,Headphones,Electronics,3,1660
5096,04-01-2023,CUST0822,Rahul,Watch,Accessories,4,1793
